,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,1264,5963,81653,1394,81794,92238
1,0.002,1775,10764,81653,1542,85494,89762
2,0.005,50920,51310,78094,1755,88594,86414
3,0.01,78198,82261,78094,2491,82690,84199
4,0.02,78224,82133,78094,5931,87956,85391
5,0.05,78225,80035,78100,23416,81973,75714
6,0.1,78225,78740,78490,42472,85103,82307
7,0.2,78227,79856,80517,60289,79010,83192
8,0.5,79916,81345,82032,73346,77828,78842
9,1.0,83257,80168,81785,74442,80008,79599
10,5.0,84197,81614,76260,79082,79429,72026
11,10.0,85219,84018,76937,79764,74466,61392
12,20.0,84340,104204,78130,78792,72292,32060
13,50.0,86702,188005,79387,79718,48317,5574
14,100.0,86375,180445,79348,81738,21345,1955
15,200.0,83815,189002,81080,84020,5156,1559
16,500.0,83528,210721,80784,88911,1752,1256
17,1000.0,78442,217024,75913,90515,1451,2617
18,2000.0,78423,190480,76203,92176,1259,2617
19,5000.0,81702,254402,75054,93072,360016,2617
